iter	MultiClass
0	1.346473357
1	1.310901974
2	1.284449753
3	1.261400824
4	1.242735765
5	1.225753397
6	1.211112655
7	1.199318199
8	1.18686994
9	1.177377848
10	1.169887609
11	1.162026471
12	1.154855346
13	1.148802001
14	1.142832846
15	1.138532784
16	1.135214952
17	1.130918031
18	1.126844612
19	1.123936944
20	1.120665158
21	1.117712077
22	1.115334344
23	1.113011022
24	1.110996501
25	1.108835861
26	1.107158863
27	1.105470925
28	1.104183133
29	1.102481719
30	1.101190909
31	1.099818538
32	1.098128839
33	1.097100684
34	1.09561003
35	1.093828214
36	1.09251212
37	1.091316124
38	1.09069531
39	1.089797112
40	1.089367836
41	1.088424098
42	1.087837097
43	1.08675451
44	1.086061135
45	1.085765593
46	1.085115821
47	1.084197065
48	1.083609412
49	1.083124216
50	1.082569894
51	1.082084538
52	1.081484282
53	1.080985273
54	1.080129118
55	1.080092846
56	1.079506393
57	1.07869496
58	1.078528197
59	1.077539931
60	1.076976525
61	1.07622892
62	1.075385848
63	1.074544082
64	1.073999466
65	1.073897055
66	1.073618078
67	1.073115358
68	1.072116096
69	1.071295457
70	1.070760446
71	1.070547194
72	1.069923402
73	1.069229928
74	1.068913912
75	1.068592171
76	1.067907895
77	1.067364906
78	1.06616685
79	1.065505234
80	1.065018586
81	1.064550138
82	1.063760885
83	1.063049942
84	1.062215564
85	1.061266478
86	1.060636694
87	1.060386463
88	1.059834684
89	1.05925151
90	1.058701105
91	1.058079283
92	1.057129677
93	1.056664221
94	1.056149882
95	1.055357418
96	1.055067445
97	1.054695643
98	1.05444652
99	1.053634815
100	1.053210074
101	1.052968918
102	1.052386408
103	1.051836208
104	1.05107333
105	1.050512961
106	1.04998965
107	1.049285094
108	1.048726863
109	1.047993574
110	1.047496627
111	1.046751884
112	1.046625636
113	1.046132004
114	1.045128265
115	1.044346754
116	1.044073378
117	1.043461685
118	1.043307536
119	1.04269224
120	1.042449582
121	1.041770406
122	1.041398398
123	1.040923915
124	1.040260046
125	1.039619671
126	1.038813315
127	1.038084883
128	1.037404491
129	1.036896439
130	1.036627188
131	1.036466451
132	1.035970145
133	1.035262183
134	1.035095232
135	1.034914237
136	1.034527833
137	1.033821715
138	1.033331126
139	1.032989373
140	1.032757184
141	1.031884994
142	1.03111365
143	1.030793369
144	1.030658255
145	1.029914358
146	1.029253582
147	1.028860197
148	1.028409939
149	1.028174741
150	1.027298036
151	1.026953384
152	1.026278127
153	1.025853423
154	1.025609482
155	1.025243025
156	1.024729972
157	1.024204065
158	1.023707585
159	1.022995303
160	1.022807217
161	1.022454763
162	1.021734813
163	1.020536839
164	1.020304687
165	1.019880031
166	1.019316725
167	1.018613491
168	1.018312281
169	1.017726438
170	1.017113815
171	1.016827281
172	1.016129019
173	1.015538775
174	1.015223818
175	1.01487292
176	1.01407172
177	1.0134457
178	1.012827206
179	1.012389159
180	1.011970082
181	1.01161964
182	1.011426673
183	1.011209867
184	1.010921748
185	1.010437783
186	1.009857605
187	1.009242257
188	1.009146471
189	1.008761197
190	1.008308266
191	1.007641174
192	1.007000217
193	1.00663838
194	1.005914084
195	1.005521968
196	1.004910483
197	1.004327836
198	1.003917817
199	1.003692961
200	1.003074593
201	1.002506051
202	1.002015469
203	1.001619033
204	1.001093478
205	1.000576798
206	0.9999005074
207	0.9991948419
208	0.9987363316
209	0.998079613
210	0.9977737417
211	0.9972083961
212	0.9967015754
213	0.9965437455
214	0.9957412129
215	0.9950790867
216	0.9944913941
217	0.9940728909
218	0.9936887253
219	0.9931802482
220	0.9928359916
221	0.9925670923
222	0.9921216262
223	0.9912829716
224	0.9910813962
225	0.9905231036
226	0.9900109106
227	0.9897212088
228	0.9890089586
229	0.9884113141
230	0.9878445997
231	0.9871250048
232	0.9868945847
233	0.9859409595
234	0.9853204539
235	0.9846617121
236	0.9841313749
237	0.9838141693
238	0.9832755889
239	0.982571753
240	0.981961853
241	0.9814815869
242	0.9808391264
243	0.9805525033
244	0.9801336845
245	0.9799564129
246	0.9793949453
247	0.9789515592
248	0.9785049344
249	0.977944907
250	0.9775786026
251	0.9769506936
252	0.9765964552
253	0.9762941716
254	0.9757487865
255	0.9754423283
256	0.975079234
257	0.9747565623
258	0.9745838137
259	0.9742469871
260	0.9737265047
261	0.9733743723
262	0.9730378619
263	0.9725280102
264	0.972091
265	0.9717556604
266	0.971082157
267	0.970713465
268	0.9703729756
269	0.9698128547
270	0.9693664925
271	0.969134426
272	0.9685099284
273	0.9681614725
274	0.9675103928
275	0.9670542911
276	0.9664340773
277	0.9659936427
278	0.9655096881
279	0.9651666256
280	0.9650782695
281	0.9645114528
282	0.963891913
283	0.9632791483
284	0.9629255106
285	0.9624956539
286	0.9622849077
287	0.9619019393
288	0.9615310522
289	0.9610892785
290	0.9607166812
291	0.9603375778
292	0.9596250408
293	0.9592259648
294	0.9586343851
295	0.958217498
296	0.9575267085
297	0.9570557804
298	0.9567655319
299	0.956429343
300	0.9561127244
301	0.9557454204
302	0.9553597169
303	0.9548979838
304	0.9544532048
305	0.9536479496
306	0.9531062094
307	0.9529988529
308	0.952571036
309	0.952247129
310	0.9520751936
311	0.951520176
312	0.9514152356
313	0.9509790869
314	0.950665583
315	0.95042876
316	0.9500810985
317	0.9495787311
318	0.9492036324
319	0.9487729907
320	0.9486233625
321	0.9481683043
322	0.9478757828
323	0.947229907
324	0.946797935
325	0.9463036293
326	0.9460331111
327	0.9456361321
328	0.9451311106
329	0.9446206766
330	0.9444378328
331	0.9441206133
332	0.9435619871
333	0.9432254001
334	0.9428786619
335	0.9425091201
336	0.9419484309
337	0.9414451351
338	0.9411572232
339	0.940807206
340	0.9404905863
341	0.940015459
342	0.9395572728
343	0.9390243909
344	0.938609654
345	0.9381315546
346	0.9377449928
347	0.9371677102
348	0.9367443243
349	0.9364232472
350	0.9360810634
351	0.9356881177
352	0.9352291504
353	0.9347178734
354	0.9344847947
355	0.9342878281
356	0.933962445
357	0.9334766585
358	0.9330692135
359	0.9327546976
360	0.9325915922
361	0.9321990273
362	0.9319381723
363	0.9316320717
364	0.9312377638
365	0.9309400452
366	0.9304195098
367	0.930295149
368	0.9298768493
369	0.9295475639
370	0.9292271543
371	0.9289386892
372	0.928483209
373	0.9281587544
374	0.9277005889
375	0.9274392972
376	0.9270813162
377	0.9264576467
378	0.9262599095
379	0.925800705
380	0.9253589881
381	0.9249185989
382	0.9247186035
383	0.9244718433
384	0.9241656603
385	0.9235993284
386	0.923120461
387	0.9230815543
388	0.9226917169
389	0.9225270612
390	0.9223758387
391	0.9218663178
392	0.9215117225
393	0.9211119163
394	0.9208849278
395	0.9204248155
396	0.9199970526
397	0.919699884
398	0.9193968588
399	0.9191320114
400	0.9185980211
401	0.9182458623
402	0.9179259646
403	0.9174319723
404	0.9170532446
405	0.9168607568
406	0.9165106282
407	0.9160856242
408	0.9157287438
409	0.9154699272
410	0.9149739821
411	0.9146444505
412	0.9141354396
413	0.9137326169
414	0.9133719384
415	0.9127959567
416	0.9121527438
417	0.9117651972
418	0.9111507736
419	0.9109280459
420	0.9102614195
421	0.9098870961
422	0.9094444854
423	0.9090572614
424	0.9087150076
425	0.908426514
426	0.9079193222
427	0.9076375322
428	0.9075042869
429	0.9072172704
430	0.9069797174
431	0.9065373428
432	0.9061714417
433	0.9058356634
434	0.9055958932
435	0.9054426566
436	0.9050362606
437	0.9049806321
438	0.9043807207
439	0.9038830359
440	0.903517861
441	0.902978075
442	0.9026752186
443	0.9021648237
444	0.9016627713
445	0.901364924
446	0.9009448469
447	0.9007910756
448	0.9003451608
449	0.9000382036
450	0.8996689381
451	0.8994434818
452	0.8991571578
453	0.8987579702
454	0.8981205211
455	0.8977628607
456	0.8973106958
457	0.8969539857
458	0.8966722033
459	0.8962382077
460	0.8960258884
461	0.895495813
462	0.8952606864
463	0.8946484596
464	0.8942415418
465	0.893891499
466	0.8936019678
467	0.8933356744
468	0.8928983283
469	0.8926475118
470	0.8924207078
471	0.891978072
472	0.8914334561
473	0.8909077909
474	0.8906080253
475	0.8900772888
476	0.8897692154
477	0.8893532979
478	0.8890870593
479	0.8886310391
480	0.8882920368
481	0.8879425346
482	0.8876450008
483	0.8874191197
484	0.8869495913
485	0.8867553803
486	0.8865599333
487	0.8863456502
488	0.886121331
489	0.8859973882
490	0.8857402909
491	0.885381106
492	0.8850967939
493	0.8849280381
494	0.8847407576
495	0.8843693292
496	0.8839950311
497	0.8835793079
498	0.8830896386
499	0.8828984027
500	0.8825391336
501	0.8823991907
502	0.8821402667
503	0.8818434187
504	0.8817481826
505	0.8814976496
506	0.8810873776
507	0.8806923983
508	0.8805742211
509	0.8801342738
510	0.8797728545
511	0.8794701807
512	0.8789216016
513	0.8786613254
514	0.8784425555
515	0.8780379247
516	0.8777286395
517	0.877488652
518	0.877371638
519	0.8770986912
520	0.8766534249
521	0.8765389919
522	0.8760650276
523	0.8758488083
524	0.8756276202
525	0.8752483161
526	0.8749445156
527	0.8745099916
528	0.8741547974
529	0.8738121761
530	0.873431871
531	0.873103953
532	0.872760078
533	0.8725089018
534	0.8720847624
535	0.8717061972
536	0.8715546818
537	0.8714422998
538	0.871151119
539	0.8706263879
540	0.8703680536
541	0.8701472407
542	0.8698735886
543	0.869548288
544	0.8691714296
545	0.8688890678
546	0.8686849362
547	0.8682560567
548	0.8678116984
549	0.8676464536
550	0.8673965398
551	0.8671035654
552	0.866649988
553	0.8663887323
554	0.8661414578
555	0.8658712878
556	0.865405842
557	0.8651646535
558	0.8650378803
559	0.8646403019
560	0.8643912709
561	0.8641018328
562	0.8638933146
563	0.8635983723
564	0.8632032055
565	0.86301855
566	0.8625998666
567	0.8623262942
568	0.8620542314
569	0.861604844
570	0.8612767916
571	0.8611377529
572	0.8610414094
573	0.8607381869
574	0.8604775537
575	0.860281221
576	0.8598289133
577	0.8595570194
578	0.8592514928
579	0.8590040919
580	0.8589424327
581	0.858507622
582	0.8583169767
583	0.8579088983
584	0.8576324685
585	0.8572246211
586	0.8570503264
587	0.8567002343
588	0.8562735482
589	0.8560501308
590	0.8558100799
591	0.8554887401
592	0.8553642298
593	0.8550133465
594	0.8547179257
595	0.8543586227
596	0.8541066759
597	0.853793837
598	0.8534532611
599	0.853125432
600	0.8528646278
601	0.8524675654
602	0.8522625777
603	0.8518468937
604	0.8514605409
605	0.8511748633
606	0.8510105797
607	0.8506184439
608	0.850190527
609	0.8498096515
610	0.8494549265
611	0.8491735974
612	0.8487192606
613	0.8484675891
614	0.8484106969
615	0.8480749491
616	0.8479224231
617	0.8477109551
618	0.8473340566
619	0.8468313588
620	0.8465782016
621	0.8463095307
622	0.8459897983
623	0.8456702214
624	0.8454103096
625	0.845223125
626	0.8447234573
627	0.8443848293
628	0.8441117657
629	0.8437375602
630	0.843352937
631	0.8430542284
632	0.8426607
633	0.8423803351
634	0.8420588926
635	0.8416352568
636	0.8413812064
637	0.841127976
638	0.8409140231
639	0.8406898554
640	0.8404667987
641	0.8400568226
642	0.8397793402
643	0.8396112392
644	0.8393118549
645	0.8390551082
646	0.8387489379
647	0.8384218172
648	0.8382726348
649	0.8380474853
650	0.8377770696
651	0.8374612567
652	0.8369580433
653	0.8367505548
654	0.836486615
655	0.8362760316
656	0.8359852522
657	0.8357285652
658	0.8355888742
659	0.8354042318
660	0.8351093241
661	0.8347737356
662	0.8345088628
663	0.8343253024
664	0.8341606615
665	0.8338603266
666	0.8337128184
667	0.8334062114
668	0.8329950994
669	0.8327150778
670	0.8324795717
671	0.832196863
672	0.83195559
673	0.8317454681
674	0.8314556915
675	0.8311317607
676	0.8308542633
677	0.8305082895
678	0.8303357569
679	0.830044565
680	0.8297218045
681	0.8294365864
682	0.8291258378
683	0.8288955122
684	0.8287166748
685	0.8284918346
686	0.8282789868
687	0.8279095115
688	0.8276437647
689	0.8273591453
690	0.8271419897
691	0.8269439006
692	0.8265647337
693	0.8262866135
694	0.826128595
695	0.8259889761
696	0.8257332064
697	0.8254434287
698	0.8250829422
699	0.8248589277
700	0.8246150063
701	0.8243674096
702	0.823929495
703	0.823480179
704	0.8230565545
705	0.8228158313
706	0.8223280424
707	0.8218905362
708	0.8216734818
709	0.8213290203
710	0.8211241739
711	0.8208481415
712	0.8207111568
713	0.8203190145
714	0.8200312771
715	0.8198465527
716	0.8196762064
717	0.819313205
718	0.8190368672
719	0.8186850205
720	0.8184625572
721	0.8182115152
722	0.8179856871
723	0.8178034427
724	0.8176284729
725	0.8172943137
726	0.8170326091
727	0.8168244044
728	0.8162626672
729	0.8159180786
730	0.8155981434
731	0.8152792153
732	0.8149960642
733	0.8148005854
734	0.8146540325
735	0.8142683752
736	0.8140356719
737	0.813742401
738	0.8132029349
739	0.8130484261
740	0.8126566319
741	0.8123418121
742	0.8121237917
743	0.8120060258
744	0.811854434
745	0.8114682664
746	0.8112866869
747	0.8110942106
748	0.8107696102
749	0.8105230538
750	0.8103021015
751	0.81013742
752	0.8098292589
753	0.8096415395
754	0.8093426498
755	0.8091238523
756	0.8088680774
757	0.8085935057
758	0.808333085
759	0.8081105483
760	0.8078760938
761	0.8075119038
762	0.8073837034
763	0.807092743
764	0.8066821871
765	0.8062389946
766	0.805934379
767	0.8057117185
768	0.805411066
769	0.8052299146
770	0.8049243378
771	0.8046885283
772	0.8043888537
773	0.8041796101
774	0.8038639391
775	0.8037113447
776	0.8034319664
777	0.803329182
778	0.802976182
779	0.8026800145
780	0.8025222217
781	0.802309766
782	0.8020203731
783	0.8017354548
784	0.801514616
785	0.8012599134
786	0.8009547539
787	0.8006440451
788	0.8003182824
789	0.8001185728
790	0.7998970754
791	0.7995493338
792	0.7993025249
793	0.7990804794
794	0.7988902223
795	0.7987576467
796	0.7985273341
797	0.7983690013
798	0.7979862321
799	0.7977998245
800	0.7976069298
801	0.7973766763
802	0.7971193528
803	0.7967924141
804	0.796730673
805	0.7964695581
806	0.7960738962
807	0.7956316395
808	0.7952928182
809	0.7951247212
810	0.7949955848
811	0.7948410444
812	0.7945200174
813	0.794171862
814	0.7939251289
815	0.7936094222
816	0.7934184149
817	0.793259768
818	0.7929349222
819	0.792610339
820	0.7923050485
821	0.7920286213
822	0.7918327587
823	0.7915736593
824	0.7913246281
825	0.7910559925
826	0.7909136095
827	0.7906868106
828	0.7905207588
829	0.7903726419
830	0.7901159155
831	0.7899091725
832	0.7897125447
833	0.7893939253
834	0.7891496341
835	0.7889162452
836	0.7887179727
837	0.7884670937
838	0.7883088172
839	0.7880647869
840	0.7878280419
841	0.7875520388
842	0.7872284568
843	0.7870118554
844	0.7867021163
845	0.7865194288
846	0.7863285889
847	0.7860450545
848	0.7858351744
849	0.7855353537
850	0.7853871026
851	0.7851209501
852	0.7849602085
853	0.7846931181
854	0.7844862872
855	0.784236012
856	0.7839904056
857	0.7837205565
858	0.7835408165
859	0.7834086708
860	0.7831009271
861	0.7828709472
862	0.782506142
863	0.7821746725
864	0.7819618276
865	0.78167569
866	0.7814123727
867	0.7809976627
868	0.7806797791
869	0.7803906168
870	0.7802714798
871	0.7800107555
872	0.7797754911
873	0.7796061904
874	0.7792610585
875	0.7791219594
876	0.7789215045
877	0.7786025503
878	0.7785129368
879	0.7784037807
880	0.7781840261
881	0.7779524487
882	0.7777519356
883	0.7775685366
884	0.7772523851
885	0.7768640468
886	0.7767200538
887	0.7764496229
888	0.7761700196
889	0.7759567664
890	0.7757795004
891	0.775490835
892	0.7752234918
893	0.7748850526
894	0.7747050616
895	0.7742733183
896	0.7740059072
897	0.7739110749
898	0.7736066139
899	0.7733901531
900	0.7732859621
901	0.7731486114
902	0.7730048038
903	0.772854342
904	0.772765803
905	0.7725178996
906	0.7723216713
907	0.7719524
908	0.7716271228
909	0.7714528365
910	0.7712140366
911	0.7709987757
912	0.7707876367
913	0.7706238911
914	0.770436848
915	0.7702224212
916	0.7700289111
917	0.7698052041
918	0.7695861442
919	0.7694497798
920	0.7692331594
921	0.7690391033
922	0.7688151194
923	0.7685314889
924	0.7683666743
925	0.7681920108
926	0.7679688984
927	0.767673413
928	0.7674799398
929	0.7671484573
930	0.7670243728
931	0.7666317734
932	0.7664184851
933	0.7661503113
934	0.7657741499
935	0.7656002525
936	0.765278642
937	0.7650711861
938	0.7648477946
939	0.7644727558
940	0.7642511984
941	0.7640092937
942	0.7638892483
943	0.763515782
944	0.7632602432
945	0.7631099012
946	0.7628519679
947	0.7627593474
948	0.7626083919
949	0.7623803649
950	0.7620837362
951	0.7617493931
952	0.7614874796
953	0.7610881646
954	0.7608778525
955	0.7605548555
956	0.7603636912
957	0.7601302913
958	0.7599739434
959	0.7598440121
960	0.7596640738
961	0.7594711893
962	0.7592394234
963	0.7589797186
964	0.7587744743
965	0.7585283791
966	0.758255191
967	0.7580030802
968	0.7576778374
969	0.7574755233
970	0.7572629271
971	0.7571053753
972	0.7568850776
973	0.756669267
974	0.7564643681
975	0.7562549764
976	0.7560299803
977	0.7558588341
978	0.7556868394
979	0.7554461816
980	0.7550968617
981	0.7548717013
982	0.7546308147
983	0.7544944049
984	0.7542198962
985	0.7540292008
986	0.7538289477
987	0.7536174008
988	0.7534610723
989	0.7531985707
990	0.752998909
991	0.7527634646
992	0.7524839573
993	0.7522701969
994	0.7521249146
995	0.7519233134
996	0.7517347706
997	0.7514122634
998	0.7512352035
999	0.7510484132
