iter	Passed	Remaining
0	7	7202
1	13	6532
2	16	5581
3	20	5148
4	24	4801
5	29	4962
6	35	5087
7	41	5127
8	48	5287
9	53	5343
10	57	5151
11	63	5262
12	70	5329
13	76	5391
14	83	5492
15	90	5535
16	93	5411
17	99	5451
18	106	5479
19	112	5502
20	118	5533
21	124	5549
22	131	5607
23	138	5613
24	144	5630
25	150	5637
26	156	5647
27	162	5642
28	168	5651
29	175	5670
30	183	5721
31	189	5725
32	196	5755
33	202	5755
34	208	5756
35	215	5769
36	223	5806
37	233	5903
38	241	5948
39	249	5987
40	256	6010
41	264	6034
42	271	6037
43	278	6046
44	284	6041
45	291	6042
46	298	6047
47	304	6045
48	311	6048
49	318	6059
50	326	6071
51	334	6099
52	342	6112
53	348	6100
54	354	6091
55	358	6048
56	365	6052
57	373	6069
58	379	6056
59	385	6047
60	392	6037
61	400	6054
62	406	6043
63	413	6042
64	419	6034
65	425	6016
66	432	6016
67	438	6007
68	445	6008
69	452	6005
70	460	6025
71	466	6009
72	472	6004
73	479	6001
74	486	6001
75	494	6008
76	501	6007
77	508	6005
78	515	6010
79	522	6008
80	529	6003
81	536	6007
82	544	6018
83	552	6023
84	559	6019
85	565	6005
86	571	5995
87	577	5988
88	584	5979
89	592	5989
90	599	5991
91	608	6009
92	618	6033
93	625	6027
94	631	6016
95	638	6007
96	644	5997
97	650	5982
98	656	5979
99	663	5969
100	669	5959
101	675	5945
102	682	5945
103	688	5934
104	695	5924
105	701	5912
106	708	5910
107	714	5902
108	724	5918
109	729	5906
110	736	5897
111	742	5886
112	747	5870
113	753	5857
114	759	5846
115	765	5832
116	772	5827
117	778	5816
118	788	5837
119	798	5854
120	806	5857
121	812	5847
122	818	5837
123	824	5827
124	831	5821
125	838	5812
126	844	5803
127	851	5800
128	859	5800
129	865	5792
130	872	5787
131	877	5772
132	884	5766
133	891	5760
134	898	5758
135	907	5762
136	913	5755
137	920	5746
138	926	5736
139	931	5721
140	937	5714
141	947	5724
142	956	5732
143	963	5727
144	979	5777
145	997	5834
146	1010	5864
147	1027	5912
148	1042	5951
149	1054	5976
150	1064	5983
151	1070	5972
152	1077	5965
153	1092	5999
154	1102	6009
155	1108	5997
156	1115	5987
157	1121	5974
158	1127	5964
159	1135	5961
160	1141	5949
161	1147	5937
162	1154	5926
163	1160	5914
164	1166	5904
165	1172	5889
166	1178	5876
167	1184	5864
168	1190	5852
169	1196	5840
170	1202	5829
171	1207	5814
172	1214	5804
173	1220	5793
174	1226	5783
175	1233	5773
176	1239	5764
177	1246	5754
178	1252	5745
179	1258	5734
180	1264	5723
181	1271	5713
182	1277	5702
183	1283	5691
184	1289	5680
185	1296	5672
186	1302	5661
187	1307	5649
188	1313	5637
189	1320	5628
190	1325	5616
191	1332	5607
192	1338	5597
193	1345	5589
194	1351	5580
195	1358	5571
196	1364	5561
197	1370	5551
198	1377	5542
199	1382	5531
200	1389	5522
201	1395	5511
202	1401	5503
203	1407	5493
204	1414	5485
205	1421	5477
206	1427	5469
207	1433	5459
208	1440	5451
209	1446	5441
210	1452	5430
211	1458	5420
212	1464	5411
213	1470	5400
214	1476	5392
215	1483	5384
216	1489	5375
217	1495	5364
218	1501	5354
219	1507	5345
220	1513	5334
221	1519	5325
222	1525	5316
223	1532	5308
224	1538	5298
225	1544	5288
226	1550	5278
227	1557	5274
228	1564	5266
229	1570	5256
230	1576	5247
231	1582	5237
232	1588	5229
233	1595	5222
234	1601	5214
235	1608	5207
236	1614	5198
237	1621	5191
238	1627	5182
239	1633	5173
240	1639	5164
241	1646	5156
242	1652	5148
243	1658	5139
244	1664	5130
245	1671	5122
246	1678	5117
247	1686	5113
248	1694	5109
249	1701	5105
250	1709	5100
251	1720	5106
252	1727	5100
253	1734	5093
254	1741	5086
255	1748	5080
256	1755	5075
257	1762	5069
258	1768	5060
259	1775	5054
260	1782	5047
261	1788	5037
262	1794	5029
263	1800	5020
264	1807	5012
